,name,description,category
640,Did you catch moment man suffered fatal injury in St Matthews Way on camera?,"Murder squad detectives have today asked if anyone has captured on camera the moment a man suffered fatal injuries in a Leicester street. Police made the appeal for CCTV, dashcam footage or mobile phone videos as they investigate the fatal wounding of ...",UK
307,UK General Election 2017: What you need to know,"On June 8 the United Kingdom goes to the polls ? again ? after Theresa May, the Prime Minister, called a snap General Election last month. The next scheduled election had not been due to take place until 2020. The news that Britain is once again ...",Politics
193,ABC7 investigation: Self-proclaimed psychics bilk thousands from vulnerable clients,"She was homesick, depressed and looking for answers in love and life when the young aspiring actress crossed paths with self-proclaimed psychic Melissa Lee. ""I am that stereotypical girl who moved from the small town to the big city and got ripped off ...",Entertainment
765,Should we give every Briton a basic monthly income? For some it's the key to stamping out exploitation for others it's a ticket to laziness¡¦,"Should everyone receive a small monthly lump sum, regardless of how much money they have, how much they earn or how much they do? For many it may seem a radical idea, but it¡¯s one that¡¯s gaining popularity around the globe. The Universal Basic Income ...",World
732,McDonald's pulls 'dad' ad accused of exploiting child bereavement,"McDonald's has pulled its new TV ad and apologised for any upset caused after it was accused of exploiting child bereavement. The ""Dad"" ad, which shows a boy talking with his mother about his late father, will be ""removed from all media, including TV and ...",World
509,"Boston Celtics win NBA draft lottery, Lakers second","(The Sports Xchange) - Four years ago, Paul Pierce and Kevin Garnett played their final games for the Celtics. A month later, they were traded to the Brooklyn Nets in a massive deal that involved multiple first-round picks going to Boston. On Tuesday, the ...",Sports
311,Len McCluskey Says Jeremy Corbyn Will Be 'Successful' If Labour Wins 200 Seats At General Election,"One of Jeremy Corbyn¡¯s key allies has been lambasted by Labour politicians and union leaders for suggesting it would be ¡°successful¡± if the party managed to hold on to just 200 seats - 32 fewer than it won in 2015. Len McCluskey, the general ...",Politics
370,Get fit and discover Sheffield with more urban and woodland run routes,"There are now even more ways to explore Sheffield on foot while getting fit and healthy. The city council yesterday unveiled new run routes in seven places, adding to those created last year as part of The Outdoor City project. There are now 30 signed ...",Politics
507,Alli plans to continue enjoying 'journey',"Tottenham Hotspur midfielder Dele Alli is focused on enjoying his ""journey"" in professional football even if it means leaving the Premier League club, the 21-year-old England international has said. Alli was an integral part of Tottenham's title challenge ...",Sports
578,Cardiff Met FC Is Just One Match Away From Qualifying For The Europa League,A student football team is on the brink of making sporting history. Cardiff Met FC could become the first university side ever to qualify for European football if they win their match against Bangor City FC this Saturday. A victory would see the team ...,Sports
228,Report shows how football boosts girls' confidence,"A report has confirmed that teenage girls who play football report higher levels of self-confidence than those who play other sports, further fuelling UEFA's drive to make football Europe's No1 sport for girls. A study involving more than 4,000 girls has ...",Health
421,Meteocontrol and Reuniwatt form a partnership for satellite estimations and forecasts in Asia,French solar forecasting pioneer Reuniwatt and German leading provider of technical consulting and monitoring solutions for PV systems meteocontrol GmbH have decided to intensify their business relationship. The partnership concerns real-time estimations ...,ScienceAndTechnology
692,Sharia court in Indonesia sentences gay men to public caning,"A sharia court in Indonesia has sentenced two gay men to public caning for the first time, further undermining the country's moderate image after a leading Christian politician was imprisoned for blasphemy. The court in conservative Aceh province said the ...",World
474,Protecting Your Business against Ransomware and Other Cyber Threats,"As technology evolves, ransomware has increasingly become a major threat to businesses and Cyber Security. Ransomware has become a lucrative option for cyber criminals, when run the malware encrypts data on infected systems allowing criminals to demand ...",ScienceAndTechnology
579,"Iago Aspas on his failed Liverpool career, and ending Man United¡¯s Europa League hopes","Ex-Liverpool striker Iago Aspas has no problems with his troubled campaign on Merseyside in 2013/14, having recaptured his form at Celta Vigo. Aspas spent two short years on the books at Anfield, but only one season with the Reds, making 15 appearances ...",Sports
43,Families under further pressure as earnings growth slows,"There¡¯s more doom and gloom for households today as new figures reveal the first decline in real earnings since September 2014. According to the Office for National Statistics (ONS), earnings growth slowed in the three months to March, at 2.1 per cent ...",Business
277,Probe into claims drinking water is making Strathspey residents ill,A health board is to launch a new probe into widespread claims by residents that drinking water in Strathspey is making them ill. Locals have maintained that the water changed after Scottish Water opened a ?24million treatment works at Aviemore in 2012 ...,Health
83,Defying Debbie Tribute Magazine: helping resilient communities across Queensland and NSW get on with the recovery effort,"CYCLONE Debbie may have knocked us over but it didn¡¯t knock us down. As resilient communities across Queensland and NSW get on with the recovery effort, now you can do your part. Defying Debbie. Our special publication, Defying Debbie, features the ...",Business
34,Monthly inflation jumps to 2.6% in April,"The annual rate of inflation as measured by the Harmonised Index of Consumer Prices in April decreased to 1.1 per cent, from 1.2 per cent in March. But on a monthly basis, inflation rose to 2.6 per cent, from 0.9 per cent registered in March. The largest ...",Business
342,"Publish Tawel Fan ward deaths report, says Tory leader","A REVIEW into the deaths which occurred on a scandal-hit mental health ward must be published, the Welsh Conservative leader has said. During First Minister¡¯s Questions, however, Carwyn Jones refused to make public a review of mortality rates on the ...",Politics
